,Date,Low,High,Close,Open
538,2020-12-23,22600.0,24100.0,23232.76,23810.79
537,2020-12-22,22353.4,23837.1,23810.79,22719.88
536,2020-12-21,21815.0,24102.77,22719.71,23455.54
535,2020-12-20,23060.0,24295.0,23455.52,23821.6
534,2020-12-19,22750.0,24171.47,23821.61,23107.39
533,2020-12-18,22350.0,23285.18,23107.39,22797.15
532,2020-12-17,21230.0,23800.0,22797.16,21335.52
531,2020-12-16,19278.6,21560.0,21335.52,19426.43
530,2020-12-15,19050.0,19570.0,19426.43,19273.69
529,2020-12-14,19000.0,19349.0,19273.14,19174.99
528,2020-12-13,18711.12,19411.0,19174.99,18808.69
527,2020-12-12,18020.7,18948.66,18808.69,18036.53
526,2020-12-11,17572.33,18292.73,18036.53,18254.81
525,2020-12-10,17911.12,18557.32,18254.63,18541.29
524,2020-12-09,17650.0,18639.57,18541.28,18324.11
523,2020-12-08,18200.0,19294.84,18324.11,19166.9
522,2020-12-07,18902.88,19420.91,19166.9,19358.67
521,2020-12-06,18857.0,19420.0,19359.4,19147.66
520,2020-12-05,18500.0,19177.0,19147.66,18650.51
519,2020-12-04,18565.31,19527.0,18650.52,19422.34
518,2020-12-03,18867.2,19598.0,19421.9,19204.08
517,2020-12-02,18330.0,19342.0,19204.09,18764.96
516,2020-12-01,18001.12,19888.0,18764.96,19695.87
515,2020-11-30,18184.99,19863.16,19695.87,18185.0
514,2020-11-29,17517.0,18360.05,18184.99,17719.84
513,2020-11-28,16865.56,17880.49,17719.85,17139.53
512,2020-11-27,16438.08,17457.62,17139.52,17149.47
511,2020-11-26,16188.0,18915.03,17149.47,18718.83
510,2020-11-25,18500.27,19484.21,18719.11,19160.0
509,2020-11-24,18018.0,19418.97,19160.01,18368.01
508,2020-11-23,18000.0,18766.0,18368.0,18413.88
507,2020-11-22,17610.86,18750.0,18414.43,18703.8
506,2020-11-21,18308.58,18965.9,18703.8,18655.66
505,2020-11-20,17740.04,18815.22,18655.67,17802.81
504,2020-11-19,17335.65,18179.8,17802.82,17777.75
503,2020-11-18,17214.45,18476.93,17776.12,17659.38
502,2020-11-17,16538.0,17858.82,17659.38,16713.08
501,2020-11-16,15864.0,16880.0,16713.57,15957.0
500,2020-11-15,15774.72,16180.0,15957.0,16069.56
499,2020-11-14,15670.0,16326.99,16070.45,16320.04
498,2020-11-13,15952.35,16480.0,16320.7,16291.85
497,2020-11-12,15440.64,16340.7,16291.86,15684.25
496,2020-11-11,15272.68,15965.0,15684.24,15297.21
495,2020-11-10,15072.46,15460.0,15297.21,15328.41
494,2020-11-09,14805.54,15840.0,15328.41,15475.1
493,2020-11-08,14703.88,15650.0,15475.1,14818.3
492,2020-11-07,14344.22,15753.52,14818.3,15579.93
491,2020-11-06,15166.0,15960.0,15579.92,15590.02
490,2020-11-05,14093.56,15750.0,15590.02,14144.01
489,2020-11-04,13525.0,14259.0,14144.01,14023.53
488,2020-11-03,13284.99,14066.11,14023.53,13549.63
487,2020-11-02,13195.05,13830.0,13549.37,13761.49
486,2020-11-01,13603.0,13895.0,13761.5,13791.0
485,2020-10-31,13411.5,14100.0,13791.0,13560.1
484,2020-10-30,13115.0,13669.98,13560.1,13455.69
483,2020-10-29,12920.77,13642.91,13455.7,13266.4
482,2020-10-28,12888.0,13859.48,13266.4,13636.16
481,2020-10-27,13019.87,13789.29,13636.17,13052.15
480,2020-10-26,12765.0,13238.81,13052.19,13029.64
479,2020-10-25,12888.0,13350.0,13028.83,13111.73
478,2020-10-24,12870.0,13166.73,13111.73,12923.06
477,2020-10-23,12720.08,13027.69,12923.07,12968.84
476,2020-10-22,12678.08,13185.0,12968.52,12780.75
475,2020-10-21,11886.95,13217.68,12780.96,11910.0
474,2020-10-20,11677.59,12038.38,11909.99,11751.46
473,2020-10-19,11407.96,11823.99,11751.47,11503.14
472,2020-10-18,11346.22,11505.0,11503.14,11360.31
471,2020-10-17,11255.0,11402.42,11360.2,11319.24
470,2020-10-16,11200.0,11541.15,11319.32,11505.13
469,2020-10-15,11250.83,11617.34,11505.12,11417.89
468,2020-10-14,11280.0,11547.98,11417.89,11420.57
467,2020-10-13,11300.0,11557.0,11420.56,11528.24
466,2020-10-12,11172.0,11720.01,11528.25,11369.02
465,2020-10-11,11221.0,11445.0,11369.02,11293.22
464,2020-10-10,11050.51,11491.0,11293.22,11050.64
463,2020-10-09,10829.0,11104.64,11050.64,10925.44
462,2020-10-08,10530.41,10950.0,10925.57,10666.4
461,2020-10-07,10546.17,10681.87,10666.39,10599.65
460,2020-10-06,10525.0,10800.0,10599.66,10792.2
459,2020-10-05,10615.64,10798.0,10792.21,10666.62
458,2020-10-04,10517.87,10696.87,10666.63,10542.07
457,2020-10-03,10496.46,10603.56,10542.06,10570.4
456,2020-10-02,10374.0,10664.64,10570.4,10619.13
455,2020-10-01,10437.0,10920.0,10619.13,10776.59
454,2020-09-30,10665.13,10849.34,10776.59,10840.58
453,2020-09-29,10635.87,10867.54,10840.48,10696.11
452,2020-09-28,10626.0,10950.0,10696.12,10774.26
451,2020-09-27,10594.82,10799.0,10774.25,10728.59
450,2020-09-26,10644.68,10820.94,10728.6,10686.57
449,2020-09-25,10556.24,10760.53,10686.67,10736.33
448,2020-09-24,10190.93,10795.24,10736.32,10241.46
